,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,Pasivos por impuestos corrientes corriente,Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,Pasivos por impuestos corrientes no corriente,Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
158,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891401705,INGENIO RISARALDA S.A.,2018-12-31,C1071 - Elaboración y refinación de azúcar,01. SOCIEDAD ANÓNIMA,CRA. 7 No. 19-48 PISO 8,RISARALDA,PEREIRA-RISARALDA,Periodo Actual,547547,37459665,18288430,5649835,14319805,,208449,,76473731,,76473731,,389573215,,187530,,,5337221,,3334628,,5922282,,,404354876,480828607,2383724,,2383724,26948275,51335,20064825,5406374,54854533,,54854533,27101,164417,191518,,36728400,,194977520,,231897438,286751971,1977037,106,,,,,83301811,108817077,194096031,-19395,194076636,480828607
159,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891401705,INGENIO RISARALDA S.A.,2018-12-31,C1071 - Elaboración y refinación de azúcar,01. SOCIEDAD ANÓNIMA,CRA. 7 No. 19-48 PISO 8,RISARALDA,PEREIRA-RISARALDA,Periodo Anterior,1637446,28777045,21263239,8857795,18337079,,209093,,79081697,,79081697,,400317730,,225396,,,6534299,,882002,,5966041,,,413925468,493007165,2442647,,2442647,27414258,,103309528,3619095,136785528,,136785528,35741,235479,271220,,38033674,,117330684,,155635578,292421106,1977037,106,,,,,73301960,125327004,200606107,-20048,200586059,493007165
160,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891408635,INDUSTRIAS ZENNER S.A,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,01. SOCIEDAD ANÓNIMA,CRA 15B  25  47,RISARALDA,DOS-QUEBRADAS-RISARALDA,Periodo Actual,372146,2003951,1624841,261759,,,,,4262697,,4262697,3088091,6853837,,3314,,,,,65523,,,8553,,10019318,14282015,429933,,429933,1550369,133048,404711,,2518061,,2518061,,,,1367956,1680377,,,,3048333,5566394,2000000,,,,,4611022,835303,1269296,8715621,,8715621,14282015
161,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891408635,INDUSTRIAS ZENNER S.A,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,01. SOCIEDAD ANÓNIMA,CRA 15B  25  47,RISARALDA,DOS-QUEBRADAS-RISARALDA,Periodo Anterior,369412,2138293,1676161,568910,,,,,4752776,,4752776,5197006,6674797,,3300,,,,,58099,,,59171,,11992373,16745149,354098,,354098,3239357,187315,361318,,4142088,,4142088,,,,1479952,1469093,,,,2949045,7091133,2000000,,,,,4864771,898428,1890817,9654016,,9654016,16745149
162,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800000946,PROCTER & GAMBLE COLOMBIA LTDA,2018-12-31,G4669 - Comercio al por mayor de otros productos n.c.p.,03. SOCIEDAD LIMITADA,Carrera 7 numero 114 - 33 Piso 12,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,13390872,145729128,82732276,42958410,,,8529,,284819215,,284819215,,131928453,,,,,,,1609588,,714919,,,134252960,419072175,,57585134,57585134,109182180,12011008,,2042752,180821074,,180821074,,,,,,,,,,180821074,81393308,13677575,,,,,32305389,110874829,238251101,,238251101,419072175
163,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800000946,PROCTER & GAMBLE COLOMBIA LTDA,2018-12-31,G4669 - Comercio al por mayor de otros productos n.c.p.,03. SOCIEDAD LIMITADA,Carrera 7 numero 114 - 33 Piso 12,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,39354692,184698934,77489724,39961702,,,246,,341505298,,341505298,,136017630,,,,,,,,,666449,,,136684079,478189377,,51915793,51915793,153756924,13346618,,4404129,223423464,,223423464,2432854,,2432854,,87974,,,,2520828,225944292,81393308,13677575,,,,,29359504,127814698,252245085,,252245085,478189377
164,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002030,COLSEIN SAS,2018-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,PARQUE INDUSTRIAL GRAN SABANA ED32,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Actual,1815597,7382245,5926465,,,,,,15124307,,15124307,,969802,,16445,,,91575,,,,,,,1077822,16202129,,,,2852203,952621,336385,1051303,5192512,,5192512,,,,801207,,,,,801207,5993719,476000,,,,,,2325141,7407269,10208410,,10208410,16202129
165,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002030,COLSEIN SAS,2018-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,PARQUE INDUSTRIAL GRAN SABANA ED32,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Anterior,3022255,7210208,5326909,1412085,,1677,,,16973134,,16973134,,892605,,36426,,,,,7182,,,,,936213,17909347,,,,4403348,935778,,1494124,6833250,,6833250,,,,810350,,,,,810350,7643600,476000,,,,,,2470148,7319599,10265747,,10265747,17909347
166,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002482,VARIADORES SA,2018-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 51 6 08,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,4772657,9684092,9481201,763505,,,,,24701455,,24701455,,7936968,,52512,,,,,,,,,,7989480,32690935,,109092,109092,13871047,1177353,2509310,1002042,18668844,,18668844,,,,,210805,,8360010,,8570815,27239659,2200000,,,,,,1156936,2094340,5451276,,5451276,32690935
167,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002482,VARIADORES SA,2018-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 51 6 08,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,1575369,7327640,8268283,187150,,,,,17358442,,17358442,,7947117,,37435,,,,,,,,,,7984552,25342994,,359545,359545,7998521,649372,1154207,1148558,11310203,,11310203,,,,,683338,,6229090,,6912428,18222631,2200000,,,,,,1156936,3763427,7120363,,7120363,25342994
168,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800012375,QBCO SAS,2018-12-31,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.1 CTR CENTRAL BUGA-TULUA,VALLE,BUGA-VALLE,Periodo Actual,39048736,16031480,33019533,3116534,,3674246,123267,,95013796,13893444,108907240,,66429889,,2000756,,,5250089,,,,,,,73680734,182587974,1350455,,1350455,33015373,1192157,46093318,32241,81683544,410704,82094248,664437,,664437,,2570270,,13013110,,16247817,98342065,47358169,42672741,,,,31571496,331379,-38913649,83020136,1225773,84245909,182587974
169,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800012375,QBCO SAS,2018-12-31,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.1 CTR CENTRAL BUGA-TULUA,VALLE,BUGA-VALLE,Periodo Anterior,38864719,26058060,41121039,5754483,,54957,112919,,111966177,13515252,125481429,,49511773,,213266,,,8057778,,4565255,,,,,62348072,187829501,1276939,,1276939,34976917,2331149,43666805,110662,82362472,1196951,83559423,637998,,637998,,9097816,,7378599,,17114413,100673836,47358169,42672741,,,,30449448,402414,-34999771,85883001,1272664,87155665,187829501
170,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800013736,PALMERAS DE YARIMA S.A,2018-12-31,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. SOCIEDAD ANÓNIMA,CR 35 A 46 52,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,285156,2498140,2124868,337201,,,,,5245365,,5245365,5323834,105934309,,81296,765526,,,,300777,,,4419383,,116825125,122070490,292353,,292353,6139750,111553,8464180,16272,15024108,,15024108,,,,,7039148,,17168175,,24207323,39231431,5478896,3059000,,,,73571234,-1708000,2437929,82839059,,82839059,122070490
171,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800013736,PALMERAS DE YARIMA S.A,2018-12-31,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. SOCIEDAD ANÓNIMA,CR 35 A 46 52,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,566996,5522906,883704,275242,,,,,7248848,,7248848,5323834,103560585,,74560,539423,,,,126745,,,3847883,,113473030,120721878,274815,,274815,10780683,542163,7990929,13823,19602413,,19602413,,,,,6760939,,9208469,,15969408,35571821,5478896,3059000,,,,73224669,-861556,1500362,82401371,2748686,85150057,120721878
172,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800019615,SYMRISE LTDA,2018-12-31,C2029 - Fabricación de otros productos químicos n.c.p.,03. SOCIEDAD LIMITADA,CR 58 9 54,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,22695389,36593836,23059668,35963,,,251467,,82636323,,82636323,,61530441,,967064,,,,,,,,,,62497505,145133828,2784191,138000,2922191,32938517,2736823,6547,535690,39139768,,39139768,,,,,5807916,,,,5807916,44947684,13102281,,,,,13327310,46396024,27360529,100186144,,100186144,145133828
173,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800019615,SYMRISE LTDA,2018-12-31,C2029 - Fabricación de otros productos químicos n.c.p.,03. SOCIEDAD LIMITADA,CR 58 9 54,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,24169623,32363134,19243730,3955,,,466816,,76247258,,76247258,,42285333,,1237280,,,,,,,,,,43522613,119769871,2284790,626322,2911112,21070559,2875821,,50756,26908248,,26908248,,,,,6070575,,,,6070575,32978823,13102281,,,,,13182979,33031416,27474372,86791048,,86791048,119769871
174,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800020274,COMERCIALIZADORA  INTERNACIONAL CULTIVOS MIRAMONTE  S.A.S,2018-12-31,A0125 - Cultivo de flor de corte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 7 # 12C - 28 OFICINA 1005,ANTIOQUIA,MARINILLA-ANTIOQUIA,Periodo Actual,226237,757578,1250762,1028780,1787150,,621,,5051128,,5051128,,18102085,,,,,,,720277,,,,,18822362,23873490,607554,,607554,3372177,85791,1022408,12971754,18059684,,18059684,,,,3721877,1378265,,340738,,5440880,23500564,288000,,,,,,167287,-204546,250741,122185,372926,23873490
175,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800020274,COMERCIALIZADORA  INTERNACIONAL CULTIVOS MIRAMONTE  S.A.S,2018-12-31,A0125 - Cultivo de flor de corte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 7 # 12C - 28 OFICINA 1005,ANTIOQUIA,MARINILLA-ANTIOQUIA,Periodo Anterior,,,,,,,,,,,,,17801105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969582,
176,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800021413,VAL Y CIA S.C.S.,2018-12-31,H4923 - Transporte de carga por carretera,04. SOCIEDAD EN COMANDITA,CALLE 47B 2GN 05,VALLE,CALI-VALLE,Periodo Actual,2575500,12089700,9725992,6592,,,,,24397784,,24397784,,19269326,,380344,,,,,239138,,,23759013,,43647821,68045605,307272,7275,314547,4030506,338472,17537347,53785,22274657,,22274657,,,,,13145019,,,,13145019,35419676,300000,,,,,,187762,30741580,31229342,1396587,32625929,68045605
177,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800021413,VAL Y CIA S.C.S.,2018-12-31,H4923 - Transporte de carga por carretera,04. SOCIEDAD EN COMANDITA,CALLE 47B 2GN 05,VALLE,CALI-VALLE,Periodo Anterior,2204518,15383009,13184970,6592,,,,,30779089,,30779089,,17569964,,491722,,,,,1924139,,,22353746,,42339571,73118660,251437,7275,258712,6494175,348384,,52019,7153290,,7153290,,,,,16211489,,18746598,,34958087,42111377,300000,,,,,,187762,29258485,29746247,1261036,31007283,73118660
178,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800022127,ESTUDIOS PROYECTOS E INVERSIONES DE LOS ANDES SAS,2018-12-31,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 13 NO. 26-45 P5 OF. 503-504,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,68128910,152460977,4508475,10601158,,51018019,991306,,287708845,,287708845,21088652,43173866,,90568068,,,138002967,,,,41240,1040781,,293915574,581624419,3933555,9973252,13906807,129260378,,,25525344,168692529,,168692529,,3426024,3426024,17828845,14896329,,,27441776,63592974,232285503,170262916,113935353,,,,,51641204,-36716879,299122594,50216322,349338916,581624419
179,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800022127,ESTUDIOS PROYECTOS E INVERSIONES DE LOS ANDES SAS,2018-12-31,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 13 NO. 26-45 P5 OF. 503-504,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,8234328,135225421,3874060,5480163,,16581902,474364,,169870238,,169870238,19058596,45129159,,219316778,,,66195997,,811791,,41193,1226437,,351779951,521650189,2835731,86136,2921867,251779311,,86088556,8800582,349590316,,349590316,,1947926,1947926,21838703,,,,35172609,58959238,408549554,53624120,44906145,,,,,37833085,-64475711,71887639,41212996,113100635,521650189
180,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800027867,INDUSTRIAS BASICAS DE CALDAS S.A. I.B.C.,2018-12-31,C2011 - Fabricación de sustancias y productos químicos básicos,01. SOCIEDAD ANÓNIMA,CARRETERA PANAMERICANA KM 18 LA MANUELA VIA MEDELLIN,CALDAS,MANIZALES-CALDAS,Periodo Actual,4604965,42823616,20999211,4813122,,1911315,454382,,75606611,,75606611,,33337050,,123074,3868494,,96648,,759889,,,,,38185155,113791766,773749,,773749,31454497,7471498,22100031,212495,62012270,,62012270,99358,,99358,,5914919,,9728191,,15742468,77754738,1100000,,,,4016590,1338012,7441106,16072008,29967716,6069312,36037028,113791766
181,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800027867,INDUSTRIAS BASICAS DE CALDAS S.A. I.B.C.,2018-12-31,C2011 - Fabricación de sustancias y productos químicos básicos,01. SOCIEDAD ANÓNIMA,CARRETERA PANAMERICANA KM 18 LA MANUELA VIA MEDELLIN,CALDAS,MANIZALES-CALDAS,Periodo Anterior,3883022,27234579,11761525,5312093,,6225,5849,,48203293,,48203293,,32748891,,140623,3886714,,101212,,484599,,,,,37362039,85565332,530974,,530974,11159961,6538464,15326656,438637,33994692,,33994692,72777,45069,117846,,6021290,,2876161,,9015297,43009989,1100000,,,,4016590,1689410,14767105,13892812,35465917,7089426,42555343,85565332
182,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800030932,PROCINAL BOGOTA LTDA EN REORGANIZACION,2018-12-31,J5914 - Actividades de exhibición de películas cinematográficas y videos,03. SOCIEDAD LIMITADA,AV 15 119 43 OF 601,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,219280,11692268,508201,,,,965777,,13385526,,13385526,,114539291,,,,,,,779916,,335508,22079,,115676794,129062320,2308402,,2308402,14546134,19855120,11403291,583306,48696253,,48696253,,,,,25519472,,14604495,,40123967,88820220,9285003,,,,,88712571,506178,-58261652,40242100,,40242100,129062320
183,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800030932,PROCINAL BOGOTA LTDA EN REORGANIZACION,2018-12-31,J5914 - Actividades de exhibición de películas cinematográficas y videos,03. SOCIEDAD LIMITADA,AV 15 119 43 OF 601,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,571109,12163867,542445,,,,966485,,14243906,,14243906,,119936096,,,,,,,1006162,,77984,757397,,121777639,136021545,1597697,,1597697,13237237,15656082,13025669,350669,43867354,,43867354,,,,,20105193,,17338887,,37444080,81311434,9285003,,,,,88969254,506178,-44050324,54710111,,54710111,136021545
184,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800032970,LEMCO S.A.S.,2018-12-31,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. SOCIEDAD ANÓNIMA,DG 25 G 94 55,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,6117781,114827212,90545780,,,,,,211490773,3419811,214910584,27470673,700923630,,640967,7302905,,3342555,,6869798,,,1351000,,747901528,962812112,5007877,,5007877,47570037,10812548,54236415,13352413,130979290,,130979290,9,,9,,,54932753,42603349,,97536111,228515401,98739786,3124728,,,2371803,577955913,31666543,20437938,734296711,,734296711,962812112
185,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800032970,LEMCO S.A.S.,2018-12-31,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. SOCIEDAD ANÓNIMA,DG 25 G 94 55,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,9967207,148728446,92156010,,,,,,250851663,11191931,262043594,22415460,660405692,,557715,3278665,,,,2882653,,,1541146,,691081331,953124925,4021403,,4021403,60578334,9662049,79967956,14265442,168495184,,168495184,,,,,,59282901,11283017,,70565918,239061102,98834445,3124728,,,1992903,575843847,29208614,5059286,714063823,,714063823,953124925
186,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800033159,DURMAN COLOMBIA SAS,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.27 VIA FONTIBON FACATATIVA LOS ALPES + 400 MTS VIA BARLEY EL COLEGIO VEREDA EL CORZO LOTE 3.,CUNDINAMARCA,MADRID-CUNDINAMARCA,Periodo Actual,6097936,19305593,25726487,0,0,0,6038196,0,57168212,0,57168212,0,47870593,0,2988,0,0,1355322,0,14475371,0,0,0,0,63704274,120872486,0,0,0,9144809,1285291,12540850,4426067,27397017,0,27397017,0,0,0,60410593,112571,0,0,0,60523164,87920181,69281361,0,0,,35959821,0,0,-72288877,32952305,,32952305,120872486
187,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800033159,DURMAN COLOMBIA SAS,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.27 VIA FONTIBON FACATATIVA LOS ALPES + 400 MTS VIA BARLEY EL COLEGIO VEREDA EL CORZO LOTE 3.,CUNDINAMARCA,MADRID-CUNDINAMARCA,Periodo Anterior,3356199,11796224,31173785,0,0,0,2998306,0,49324514,0,49324514,0,50402627,0,69365,0,0,987692,0,14029647,0,0,0,0,65489331,114813845,0,0,0,9374646,289954,9861140,2992707,22518447,0,22518447,0,0,0,46283782,61788,0,0,0,46345570,68864017,69281361,0,0,,35959821,0,0,-59291354,45949828,,45949828,114813845
188,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800035776,NEXSYS DE COLOMBIA S.A,2018-12-31,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Aut.Medellin cl 80 KM 2 PET,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Actual,58832600,238684856,101910125,13079815,,31101,2250627,,414789124,,414789124,902649,2908957,,195485,,,,,5263640,,,,,9270731,424059855,1656797,,1656797,212849051,24868136,88165862,4145800,331685646,,331685646,,,,,1106254,,,567836,1674090,333359736,13140000,,,,1475876,,6766615,66561985,87944476,2755643,90700119,424059855
189,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800035776,NEXSYS DE COLOMBIA S.A,2018-12-31,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Aut.Medellin cl 80 KM 2 PET,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Anterior,14905200,211831708,75350789,13300223,,36153,579714,,316003787,,316003787,862649,1306724,,105029,,,,,598811,,,,,2873213,318877000,1584071,,1584071,173936853,28617750,31880119,5724884,241743677,,241743677,,,,,1259469,,,757122,2016591,243760268,13140000,,,,,,5809170,54638695,73587865,1528867,75116732,318877000
190,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800039996,KUEHNE + NAGEL S.A.S,2018-12-31,H5229 - Otras actividades complementarias al transporte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 113 NO.7-80 PISO 5CALLE 113 NO.7-80 PISO 5,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,10273904,121166280,,6268186,,,83003,,137791373,,137791373,,8081930,6818400,,,,,,1746646,,200,29912,,16677088,154468461,,2796040,2796040,81475617,718171,21123375,1420896,107534099,,107534099,,,,,3778998,,,,3778998,111313097,3428204,26314528,,,,,1010903,12401729,43155364,,43155364,154468461
191,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800039996,KUEHNE + NAGEL S.A.S,2018-12-31,H5229 - Otras actividades complementarias al transporte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 113 NO.7-80 PISO 5CALLE 113 NO.7-80 PISO 5,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,7834340,110206050,,8025519,,,112652,,126178561,,126178561,,11175324,6818400,,,,,,1739026,,200,29912,,19762862,145941423,,3108704,3108704,82497733,651082,13428000,1212587,100898106,,100898106,,,,,2458510,,,,2458510,103356616,3428204,26314528,,,,,1010903,11831172,42584807,,42584807,145941423
192,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800042175,PRODUCTOS QUIMICOS ANDINOS S.A.S,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,"AUT MEDELLIN KM  1,5 COSTADO SUR BG 20 PARQUE INDUSTRIAL LA FLORIDA",CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Actual,1061347,31065267,33916206,1243439,0,0,0,0,67286259,1985,67288244,10000,33140233,0,0,928645,0,543769,0,779148,0,0,458454,0,35860249,103148493,277967,0,277967,26598230,2332582,35583183,0,64791962,0,64791962,0,0,0,0,2287563,0,1739314,0,4026877,68818839,7335087,0,0,,4903481,2432980,8302265,11175918,34149731,179923,34329654,103148493
193,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800042175,PRODUCTOS QUIMICOS ANDINOS S.A.S,2018-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,"AUT MEDELLIN KM  1,5 COSTADO SUR BG 20 PARQUE INDUSTRIAL LA FLORIDA",CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Anterior,1852656,31762746,24307602,759602,0,0,0,0,58682606,1985,58684591,10000,24300824,0,0,1009586,0,314890,0,568268,0,0,1183365,0,27386933,86071524,227290,0,227290,20012701,2268034,30941076,0,53449101,0,53449101,0,0,0,0,2203315,0,1757482,0,3960797,57409898,7335087,0,0,,4903481,907806,8302265,7048503,28497142,164484,28661626,86071524
194,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800046226,HEINSOHN BUSINESS TECHNOLOGY S.A.,2018-12-31,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,01. SOCIEDAD ANÓNIMA,CR 13 82 49 P 6,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,10280222,20720231,3522021,,,,336879,,34859353,,34859353,390263,1294715,,19472,2505222,,,3804588,169584,,,38678,,8222522,43081875,3252712,,3252712,5578941,3671211,125165,7636685,20264714,,20264714,,,,336833,545712,,98724,,981269,21245983,2809784,,,,,22348,12156758,6686971,21675861,160031,21835892,43081875
195,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800046226,HEINSOHN BUSINESS TECHNOLOGY S.A.,2018-12-31,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,01. SOCIEDAD ANÓNIMA,CR 13 82 49 P 6,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,8489164,18410028,6853148,,,,185056,,33937396,,33937396,394378,1359550,,118745,2952947,,,1355076,56790,,,30000,,6267486,40204882,3978207,,3978207,5384989,2544364,374332,7466833,19748725,,19748725,,,,,492069,,,,492069,20240794,2809784,,,,,22348,7549948,9350702,19732782,231306,19964088,40204882
