,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
304,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805013653,LA GALERIA Y CIA SA,2020-12-31,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. SOCIEDAD ANÓNIMA,CRA 56 No 18 A 80,VALLE,CALI-VALLE,Periodo Actual,19355769,6557164,38423608,418636,,,288043,,65043220,,65043220,,189335091,,220422,,,,,11436687,,21431731,,,222423931,287467151,2600217,,2600217,38480010,3101422,8555745,23172229,75909623,,75909623,,,,,17116223,,48642833,500000,66259056,142168679,4200000,7859380,,,,63192126,4644365,50803479,130699350,14599122,145298472,287467151
305,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805013653,LA GALERIA Y CIA SA,2020-12-31,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. SOCIEDAD ANÓNIMA,CRA 56 No 18 A 80,VALLE,CALI-VALLE,Periodo Anterior,13556508,5317180,32558043,345534,,,283830,,52061095,,52061095,,135786613,,256433,,,,,10870573,,24949937,,,171863556,223924651,2434096,,2434096,59394152,2587244,12941489,331836,77688817,,77688817,,,,,11449262,,45367819,500000,57317081,135005898,4200000,7859380,,,7360000,13556850,4054579,40375690,77406499,11512254,88918753,223924651
306,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805018583,EQUIPAMIENTOS URBANOS NACIONALES DE COLOMBIA S.A.,2020-12-31,M7310 - Publicidad,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 76 53 61,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,2986776,7018679,480853,,,541660,,,11027968,,11027968,,9659833,,4280741,,,53325,,801197,2917024,1233189,496150,,19441459,30469427,129932,449405,579337,10019926,89023,,380911,11069197,,11069197,,,,,,,,,,11069197,10550340,,,,,2631727,5275181,942982,19400230,,19400230,30469427
307,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805018583,EQUIPAMIENTOS URBANOS NACIONALES DE COLOMBIA S.A.,2020-12-31,M7310 - Publicidad,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 76 53 61,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,1176908,19554873,423837,,,519652,,,21675270,,21675270,,8712040,,3807343,,,14986,,,1894745,647742,496150,,15573006,37248276,215588,333293,548881,10464496,361854,,1026629,12401860,,12401860,,,,,756715,,,,756715,13158575,10550340,,,,,2650584,5275181,5613596,24089701,,24089701,37248276
308,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805023971,VELEZ Y VALLECILLA & CIA SCA,2020-12-31,G4631 - Comercio al por mayor de productos alimenticios,05. SOCIEDAD EN COMANDITA POR ACCIONES,K 1 58 41,VALLE,CALI-VALLE,Periodo Actual,28409350,237040547,218285268,33154659,9191521,,3723673,,529805018,,529805018,,257164097,,23836315,26404532,,223504864,,,,15728062,27501062,,574138932,1103943950,12331239,,12331239,136373318,10250748,192480288,36110700,387546293,,387546293,53998,,53998,43594577,9883292,,185095129,1220942,239847938,627394231,4255074,8466711,,,145789983,143542866,18384162,134560514,454999310,21550409,476549719,1103943950
309,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805023971,VELEZ Y VALLECILLA & CIA SCA,2020-12-31,G4631 - Comercio al por mayor de productos alimenticios,05. SOCIEDAD EN COMANDITA POR ACCIONES,K 1 58 41,VALLE,CALI-VALLE,Periodo Anterior,27585886,234974707,218322037,25628349,7741958,,5047645,,519300582,,519300582,,263762235,,23030160,20463950,,228925241,,,,17032271,20668070,,573881927,1093182509,11017864,,11017864,126759840,6716236,214066506,26272624,384833070,,384833070,69462,,69462,40937798,14274084,,190179014,1208880,246669238,631502308,4255074,8466711,,,145789983,136991492,18384162,127089863,440977285,20702916,461680201,1093182509
310,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805025887,INMCOR GROUP SAS EN REORGANIZACION,2020-12-31,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 17 N 15B 01 CENTRO COMERCIAL E INDUSTRIAL SAN RAFAEL PLAZA LOCALES  1 Y 2,VALLE,YUMBO-VALLE,Periodo Actual,88765,1309625,771084,518147,,,11194,,2698815,,2698815,,2105612,,7530,,,374821,,61046,,,,,2549009,5247824,236928,,236928,2763793,1201,116385,129130,3247437,,3247437,25105,98614,123719,4491720,173652,,1592048,,6381139,9628576,1500000,,,,,,153471,-5974893,-4321422,-59330,-4380752,5247824
311,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805025887,INMCOR GROUP SAS EN REORGANIZACION,2020-12-31,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 17 N 15B 01 CENTRO COMERCIAL E INDUSTRIAL SAN RAFAEL PLAZA LOCALES  1 Y 2,VALLE,YUMBO-VALLE,Periodo Anterior,74663,2161082,693807,905145,,,17917,,3852614,,3852614,,2059518,,10130,,,76745,,21182,,,,,2167575,6020189,209054,,209054,2582726,125251,445894,66967,3429892,,3429892,,,,3943848,170802,,1486125,,5600775,9030667,1500000,,,,,,153471,-4611762,-2958291,-52187,-3010478,6020189
312,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",806000179,HOTELES DECAMERON COLOMBIA S.A.S.,2020-12-31,I5511 - Alojamiento en hoteles,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle Larga # 10B-70 Barrio Getsemani,BOLIVAR,CARTAGENA-BOLIVAR,Periodo Actual,74302000,118678000,14767000,47824000,,,30018000,,285589000,,285589000,175944000,1796988000,458811000,190094000,78881000,,,,76796000,,3201000,166467000,,2947182000,3232771000,23297000,38633000,61930000,260663000,,73949000,133931000,530473000,,530473000,19055000,10248000,29303000,15247000,202310000,,916401000,1658104000,2821365000,3351838000,5000000,480264000,,,,505870000,5599000,-1114729000,-117996000,-1071000,-119067000,3232771000
313,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",806000179,HOTELES DECAMERON COLOMBIA S.A.S.,2020-12-31,I5511 - Alojamiento en hoteles,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle Larga # 10B-70 Barrio Getsemani,BOLIVAR,CARTAGENA-BOLIVAR,Periodo Anterior,71822000,209629000,19030000,25393000,,,51990000,,377864000,,377864000,170491000,1862393000,457190000,191061000,141446000,,,,12787000,,3532000,157991000,,2996891000,3374755000,35385000,18470000,53855000,281135000,,214119000,273450000,822559000,,822559000,21483000,28787000,50270000,13760000,160805000,,713822000,1406423000,2345080000,3167639000,5000000,480264000,,,,116912000,368249000,-788785000,181640000,25476000,207116000,3374755000
314,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811003486,QUIPUX S.A.S.,2020-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 43 A 3 SUR 130 T 1 P 12,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,7003764,50273280,95856,6192384,,,8777184,,72342468,481259,72823727,,32822205,,133850627,7026751,,775169,,,,,3978686,,178453438,251277165,3298605,79178,3377783,20177727,6645302,9924603,22277889,62403304,,62403304,,1334446,1334446,,14849583,,49404445,3057094,68645568,131048872,5978051,7070288,,,,75596059,5571915,26010714,120227027,1266,120228293,251277165
315,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811003486,QUIPUX S.A.S.,2020-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 43 A 3 SUR 130 T 1 P 12,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,4549675,36990860,122845,2394603,,,7104594,,51162577,344205,51506782,,28625553,,166613460,6324057,,230427,,,,,2638781,,204432278,255939060,2939227,10106,2949333,12229985,4536929,9708340,19396378,48820965,,48820965,,952045,952045,,17591063,,44448607,3502042,66493757,115314722,5328708,9830263,,,,100338859,7082048,18043019,140622897,1441,140624338,255939060
316,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811006722,INGREDIENTES Y PRODUCTOS FUNCIONALES S.A.S,2020-12-31,G4690 - Comercio al por mayor no especializado,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 42 75 277,ANTIOQUIA,ITAGUI-ANTIOQUIA,Periodo Actual,3687164,31087594,23327051,901007,,,,,59002816,,59002816,4805706,8124487,,237626,2328653,,3212428,,1520446,,8817068,,,29046414,88049230,737716,4762,742478,17519201,2531408,18291271,886582,39970940,,39970940,,40115,40115,,1512199,,3444544,7243634,12240492,52211432,1500000,747146,,,925308,,19186743,10831355,33190552,2647246,35837798,88049230
317,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811006722,INGREDIENTES Y PRODUCTOS FUNCIONALES S.A.S,2020-12-31,G4690 - Comercio al por mayor no especializado,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 42 75 277,ANTIOQUIA,ITAGUI-ANTIOQUIA,Periodo Anterior,3908816,27925813,24124810,2685348,,,,,58644787,,58644787,4679026,12115861,,244119,2517284,,3213356,,1299072,,10115368,,,34184086,92828873,564865,,564865,16903053,2251212,25547786,689174,45956090,,45956090,,37470,37470,,1299990,,7788543,8282306,17408309,63364399,1500000,747146,,,961148,,10243841,13625273,27077408,2387066,29464474,92828873
318,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811008963,MULTIENLACE SAS,2020-12-31,N8220 - Actividades de centros de llamadas (Call center),08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 37A 8 43 OF 701,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,102723781,95714526,,25030743,,3096922,,,226565972,,226565972,,112861514,164120574,137319484,,,1260585,,10945361,,,,,426507518,653073490,43967388,,43967388,57971234,27350245,49555507,,178844374,,178844374,,,,,57761686,,127291347,,185053033,363897407,33400536,168632258,,,,,-23385663,100437540,279084671,10091412,289176083,653073490
319,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811008963,MULTIENLACE SAS,2020-12-31,N8220 - Actividades de centros de llamadas (Call center),08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 37A 8 43 OF 701,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,30320891,139772917,,14777998,,1692264,,,186564070,,186564070,,139392506,175495000,147956172,,,2843608,,9652812,,,,,475340098,661904168,30812388,,30812388,54238559,20139260,51412607,,156602814,,156602814,,,,,60330625,,125231522,,185562147,342164961,33400536,168632258,,,,,-4020290,108539313,306551817,13187390,319739207,661904168
320,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811009788,DISTRACOM S.A.,2020-12-31,G4731 - Comercio al por menor de combustible para automotores,01. SOCIEDAD ANÓNIMA,CALLE 51 N 64B-57,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,48043728,137137862,39677752,3624257,,,2277930,,230761529,,230761529,,838345200,2236271,502727,,,,,,,9369432,15691789,,866145419,1096906948,3631741,,3631741,16854402,5065679,37793903,7056779,70402504,,70402504,451034,,451034,47013,38456233,,252475587,26430081,317859948,388262452,500000,,,,,131625352,80598222,458373709,671097283,37547213,708644496,1096906948
321,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811009788,DISTRACOM S.A.,2020-12-31,G4731 - Comercio al por menor de combustible para automotores,01. SOCIEDAD ANÓNIMA,CALLE 51 N 64B-57,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,23454462,146081758,38231198,3677464,,,2421499,,213866381,,213866381,,825921940,2720940,469658,,,,,,,9380957,14503931,,852997426,1066863807,3241998,,3241998,38108683,5560032,32381802,12841821,92134336,,92134336,420504,,420504,35165,40626166,,274743215,26836412,342661462,434795798,500000,,,,,132584299,80645699,386843370,600573368,31494641,632068009,1066863807
322,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811010485,FGA FONDO DE GARANTIAS S.A.,2020-12-31,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,01. SOCIEDAD ANÓNIMA,CR 43 A 19 17 P 9,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,22363000,24353000,,,,152922000,,,199638000,,199638000,,3511000,,673000,,,611000,,34337000,,,,,39132000,238770000,812000,146000,958000,5541000,8621000,97553000,242000,112915000,,112915000,45000,,45000,,761000,,9938000,,10744000,123659000,78888000,,,,,,11603000,23853000,114344000,767000,115111000,238770000
323,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811010485,FGA FONDO DE GARANTIAS S.A.,2020-12-31,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,01. SOCIEDAD ANÓNIMA,CR 43 A 19 17 P 9,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,20043000,31267000,,,,135224000,,,186534000,,186534000,,3584000,186000,1366000,,,862000,,36453000,,,9000,,42460000,228994000,1090000,157000,1247000,8773000,13967000,101594000,585000,126166000,,126166000,65000,,65000,,686000,,10001000,,10752000,136918000,61213000,,,,,,9639000,20275000,91127000,949000,92076000,228994000
324,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811011779,RENTING COLOMBIA S.A.S,2020-12-31,N7710 - Alquiler y arrendamiento de vehículos automotores,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 52 14 30 LOCAL 340,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,35574482,163314841,27223673,,,10385945,,,236498941,,236498941,,883804021,,21559266,,,,,,,381387361,,,1286750648,1523249589,,541702,541702,61946387,17590164,714060745,22536982,816675980,,816675980,1387557,,1387557,,39424670,,351114338,,391926565,1208602545,71267954,50308627,,,,,152699581,40370882,314647044,,314647044,1523249589
325,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811011779,RENTING COLOMBIA S.A.S,2020-12-31,N7710 - Alquiler y arrendamiento de vehículos automotores,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 52 14 30 LOCAL 340,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,26956330,170239550,28312189,,,5627355,,,231135424,,231135424,,992994987,,19031341,,,,,,,275740278,,,1287766606,1518902030,,211343,211343,62218502,16750877,807698257,31816936,918695915,,918695915,1035948,,1035948,,29417457,,319012359,,349465764,1268161679,71267954,50308627,,,,,66931575,62232195,250740351,,250740351,1518902030
326,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811019499,RP MEDICAS,2020-12-31,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,01. SOCIEDAD ANÓNIMA,Tv 6 #45-135,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,5905529,29606169,13390689,,,,,,48902387,,48902387,1088252,1636962,,4832206,,,,,,,159994,,,7717414,56619801,413485,,413485,18576226,690890,1156367,1167375,22004343,,22004343,,,,,,,,,,22004343,5322685,,,,4101434,4756810,1838842,18595687,34615458,,34615458,56619801
327,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811019499,RP MEDICAS,2020-12-31,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,01. SOCIEDAD ANÓNIMA,Tv 6 #45-135,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,1008281,28533826,16773037,,,,,,46315144,,46315144,784185,1479032,,4778801,,,,,,,1336160,,,8378178,54693322,439914,,439914,22851776,727157,2519635,770431,27308913,,27308913,,,,,1520019,,,,1520019,28828932,5322685,,,,4303603,4756810,1424920,10056372,25864390,,25864390,54693322
328,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811023986,ONDADEMAR S.A.S.,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 14 52A 304,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,1184,3208,3320,,,,,,7712,,7712,,342,,2386,,,1245,,2068,1245,,487,,7773,15485,427,,427,16633,2406,0,,19466,,19466,,,,0,954,0,14497,0,15451,34917,2799,9892,,,,,278,-32401,-19432,,-19432,15485
329,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811023986,ONDADEMAR S.A.S.,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 14 52A 304,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,1253,459,5926,,,,,,7638,,7638,,3948,,1162,,,320,,2075,890,,,,8395,16033,475,,475,7982,2126,13916,,24499,,24499,,,,,954,,207,,1161,25660,2799,9892,,,,,278,-22596,-9627,,-9627,16033
330,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811028650,MADECENTRO SAS,2020-12-31,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 7 SUR 42 70 INT 505,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,8173254,51745854,117089910,9022509,,641626,2028800,,188701953,,188701953,,174598728,,4965,,,,1349061,,,,,,175952754,364654707,5611487,9721183,15332670,64602273,8294796,64276197,10012309,162518245,,162518245,,,,,18651,,,88382089,88400740,250918985,2183103,6679382,,,7629890,,72348333,24895014,113735722,,113735722,364654707
331,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811028650,MADECENTRO SAS,2020-12-31,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 7 SUR 42 70 INT 505,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,3587226,57533206,105382408,7668866,,732901,547892,,175452499,,175452499,,157284998,,10903,,,,1082791,,,,,,158378692,333831191,5262180,336000,5598180,61599717,8792046,48411629,8229488,132631060,,132631060,,,,10493553,1641519,,,92433136,104568208,237199268,2183103,6679382,,,5725695,,49965812,32077931,96631923,,96631923,333831191
332,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811034480,CALORCOL SAS,2020-12-31,C2399 - Fabricación de otros productos minerales no metálicos n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 46 71 121,ANTIOQUIA,COPACABANA-ANTIOQUIA,Periodo Actual,2138168,5459494,8603617,,,1238,,,16202517,,16202517,,31827929,,32899,,,,,,,,,,31860828,48063345,,,,4078781,538845,3606408,2624836,10848870,,10848870,,,,,3368608,,12339524,,15708132,26557002,1500000,1100000,,,,3025334,891305,14989704,21506343,,21506343,48063345
333,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811034480,CALORCOL SAS,2020-12-31,C2399 - Fabricación de otros productos minerales no metálicos n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 46 71 121,ANTIOQUIA,COPACABANA-ANTIOQUIA,Periodo Anterior,54344,6135447,7015454,,,32573,,,13237818,,13237818,,31215450,,24173,,,,,16075,,,,,31255698,44493516,,,,4680838,190985,475745,1827902,7175470,,7175470,,,,,3573131,,12339524,,15912655,23088125,1500000,1100000,,,,2820810,891305,15093276,21405391,,21405391,44493516
334,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811039652,MAS S.A.S,2020-12-31,G4642 - Comercio al por mayor de prendas de vestir,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Carrera 48 # 61 sur 115 BG 123,ANTIOQUIA,SABANETA-ANTIOQUIA,Periodo Actual,7315229,18995425,21207416,4600649,,,1568,93809,52214096,,52214096,,1466263,,10393669,,,,,1702940,,,,,13562872,65776968,992881,,992881,10299686,,15706750,8053277,35052594,,35052594,,,,,,,28006992,,28006992,63059586,90724,7691625,,,,,-93939,-4971028,2717382,,2717382,65776968
335,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811039652,MAS S.A.S,2020-12-31,G4642 - Comercio al por mayor de prendas de vestir,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Carrera 48 # 61 sur 115 BG 123,ANTIOQUIA,SABANETA-ANTIOQUIA,Periodo Anterior,1243155,26436171,26790290,3995828,,,1513,136798,58603755,,58603755,,2009597,,11169702,,,,,1564901,,,,,14744200,73347955,867943,,867943,12811338,,31659010,15097432,60435723,,60435723,,,,,,,8826098,,8826098,69261821,90722,6441838,,,,,-129462,-2316964,4086134,,4086134,73347955
336,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811041746,BIKE HOUSE SAS,2020-12-31,G4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,cra 44a 31 128,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,8656032,5182523,47051967,,,15368,149529,,61055419,2029000,63084419,6054700,3852657,25483,,,,,,419648,,8047982,,,18400470,81484889,,,,6349566,8483347,9625978,2925383,27384274,,27384274,,,,,244867,,,,244867,27629141,1526847,45000,,,,,539440,51743517,53854804,944,53855748,81484889
337,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811041746,BIKE HOUSE SAS,2020-12-31,G4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,cra 44a 31 128,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,1936315,7094330,44434285,,,344608,303914,,54113452,,54113452,6054700,3758269,25483,,,,,,385006,,5275749,,,15499207,69612659,,,,8042364,2148449,26248969,895067,37334849,,37334849,,,,,113167,,,81739,194906,37529755,1078880,45000,,,34676,,539440,30384790,32082786,118,32082904,69612659
338,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044406,GCT & ASOCIADOS S.A.,2020-12-31,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Cr 48 # 20-114 Torre 2 oficina 932,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,92168,1381973,,403722,,,,,1877863,,1877863,386830,2404135,,1034043,,,,,,,,,,3825008,5702871,227576,,227576,210289,185887,256567,27670,907989,,907989,,,,,344138,,1297074,,1641212,2549201,150000,808000,,,856967,531629,,796758,3143354,10316,3153670,5702871
339,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044406,GCT & ASOCIADOS S.A.,2020-12-31,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Cr 48 # 20-114 Torre 2 oficina 932,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,386611,805381,,436657,,,34149,,1662798,,1662798,,2409736,,1025967,,,,,,,,386831,,3822534,5485332,175435,,175435,72988,218358,430277,7649,904707,,904707,,,,,307712,,1421564,,1729276,2633983,150000,808000,,,856967,531629,,494437,2841033,10316,2851349,5485332
340,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044853,PETRICORP S.A.S.,2020-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 25 3 45 P 3 MALL DEL ESTE,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,8232202,814222898,58618007,15042711,,3172350,13292672,,912580840,46031525,958612365,6430710,388833479,1462932,67530348,139273110,,648408823,,11580878,,7604541,78444,,1271203265,2229815630,,41354563,41354563,195503435,1768513,432842315,52546635,724015461,,724015461,,3110378,3110378,3819745,73452292,,291421491,9647191,381451097,1105466558,959008,16775580,,,,13108000,-17314730,578951041,592478899,531870173,1124349072,2229815630
341,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044853,PETRICORP S.A.S.,2020-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 25 3 45 P 3 MALL DEL ESTE,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,43282662,1002615822,104307222,5859764,,49635341,4729816,,1210430627,2530363,1212960990,5735876,416565714,1462932,4862893,142532902,,582513058,,15138271,,7465688,51315,,1176328649,2389289639,,93398351,93398351,233829977,5408540,302128152,104550752,739315772,,739315772,,3253678,3253678,14071062,80774787,,415745887,21417670,535263084,1274578856,959008,16775580,,,,17398820,-22687181,572946710,585392937,529317846,1114710783,2389289639
