,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
137,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830119051,AXESAT S.A,2019-12-31,J6130 - Actividades de telecomunicación satelital,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KRA 7 N° 71-52 TORREB OF501 ,BOGOTA D.C.,CHAPINERO-BOGOTA D.C.,Periodo Anterior,6202643,23610397,5308361,7419389,,,2908447,,45449237,,45449237,,45436330,557250,8982003,,,9132389,,4163246,,,,,68271218,113720455,,,,27775734,4149422,4198492,1759587,37883235,,37883235,,,,4192451,1528861,,39407917,12258053,57387282,95270517,5502370,841267,,,,,2180212,6787950,15311799,3138139,18449938,113720455
138,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830121796,"DOMINA S.A., EN REORGANIZACION",2019-12-31,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación",01. SOCIEDAD ANÓNIMA,KR 116  19A 60,BOGOTA D.C.,ENGATIVA-BOGOTA D.C.,Periodo Actual,2248998,1368034,8997776,894916,,41060,8626,,13559410,,13559410,6226580,13699418,,33730,,,,,1760144,,,,,21719872,35279282,832708,266038,1098746,1987247,3133587,2782991,3095988,12098559,,12098559,,,,,,2119597,14991661,,17111258,29209817,3946185,,,,635107,4818045,8502,-3338374,6069465,,6069465,35279282
139,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830121796,"DOMINA S.A., EN REORGANIZACION",2019-12-31,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación",01. SOCIEDAD ANÓNIMA,KR 116  19A 60,BOGOTA D.C.,ENGATIVA-BOGOTA D.C.,Periodo Anterior,783245,1474280,7609820,434567,,150495,19890,,10472297,,10472297,6226580,12001680,,33008,,,,,1075403,,,,,19336671,29808968,693721,236097,929818,1686295,1301631,1575215,2006025,7498984,,7498984,,,,,,2372727,14176933,,16549660,24048644,3946185,,,,635099,4818045,8502,-3647507,5760324,,5760324,29808968
140,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830126461,HITOS URBANOS S.A.S,2019-12-31,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA. 19 B No. 83-49 PISO 7,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,1915745,50434930,7392,17855,,1771963,12169354,,66317239,,66317239,0,7329748,,0,322279,,,,26530,,45023535,36786266,,89488358,155805597,,,,28022362,873454,30037136,744288,59677240,,59677240,,,,42221919,337768,,5662503,25496167,73718357,133395597,10000000,,,,,,820000,11588197,22408197,1803,22410000,155805597
141,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830126461,HITOS URBANOS S.A.S,2019-12-31,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA. 19 B No. 83-49 PISO 7,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,3816549,43268614,0,96139,,1734331,3817171,,52732804,,52732804,3102942,1462102,,0,270375,,,,35088,,16840611,34454853,,56165971,108898775,,,,4802412,712981,26326872,1294807,33137072,,33137072,,,,29270049,339045,,5667247,24421547,59697888,92834960,7000000,,,,,,820000,8243815,16063815,0,16063815,108898775
142,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830127076,ANGLOGOLD ASHANTI COLOMBIA S.A.,2019-12-31,B0722 - Extracción de oro y otros metales preciosos,01. SOCIEDAD ANÓNIMA,CALLE 116 NO. 7 - 15 OFICINA 801 PISO 8,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,19508036,1661274,,,,,,,21169310,,21169310,,145002924,,571632,,,,,,12183796,,91658675,,249417027,270586337,10319870,,10319870,43339046,,838192,3692303,58189411,,58189411,,18837025,18837025,41935646,,,881872,,61654543,119843954,46125661,1388239692,,,,,30881005,-1314503975,150742383,,150742383,270586337
143,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830127076,ANGLOGOLD ASHANTI COLOMBIA S.A.,2019-12-31,B0722 - Extracción de oro y otros metales preciosos,01. SOCIEDAD ANÓNIMA,CALLE 116 NO. 7 - 15 OFICINA 801 PISO 8,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,20060885,6228371,,,,33502,,,26322758,,26322758,,89096201,,,,,9143266,,,10862460,15879,21859042,,130976848,157299606,3657575,,3657575,24754357,4061,106844,2603692,31126529,,31126529,,18901088,18901088,9143266,,,373416,,28417770,59544299,48922908,1514557534,,,,,58063516,-1523788651,97755307,,97755307,157299606
144,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830129327,FARMATODO COLOMBIA S.A.,2019-12-31,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",01. SOCIEDAD ANÓNIMA,CARRERA 11 A No. 98 50 Ofic 301 - 302,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,24148693,9679238,71189749,,,,590568,,105608248,,105608248,17406172,42904520,,183250,,,,,27219599,,1015800,,93760099,182489440,288097688,4872708,,4872708,82854302,2076081,5636629,16276291,111716011,,111716011,,,,,,,43520695,85573915,129094610,240810621,21393444,211167965,,,,,,-185274342,47287067,0,47287067,288097688
145,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830129327,FARMATODO COLOMBIA S.A.,2019-12-31,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",01. SOCIEDAD ANÓNIMA,CARRERA 11 A No. 98 50 Ofic 301 - 302,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,12952970,9155966,71511544,,,,261845,,93882325,,93882325,17035000,46184104,,434530,,,,,26100420,,507800,,102479012,192740866,286623191,4945749,,4945749,74047628,2038160,3166534,17021233,101219304,,101219304,,,,1066722,,,47555993,90245917,138868632,240087936,21393444,211167965,,,,,,-186026154,46535255,0,46535255,286623191
146,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002030,COLSEIN SAS,2019-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,PARQUE INDUSTRIAL GRAN SABANA ED 32,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Actual,1557729,6039199,6737837,1355159,,885863,,,16575787,,16575787,,1396994,,11802,,,,,,255958,,,,1664754,18240541,,,,3073829,857862,1152095,,5083786,,5083786,,,,801207,15579,,,,816786,5900572,476000,,,,,,1472331,10391638,12339969,,12339969,18240541
147,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002030,COLSEIN SAS,2019-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,PARQUE INDUSTRIAL GRAN SABANA ED 32,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Anterior,1815597,7382245,5926465,,,,,,15124307,,15124307,,1558370,,16445,,,91576,,,,,,,1666391,16790698,,,,2852203,952621,336385,1051303,5192512,,5192512,,,,801207,,,,,801207,5993719,476000,,,,,,1472331,8848648,10796979,,10796979,16790698
148,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002482,VARIADORES SA,2019-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 51  6 08,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,5028809,9180513,10476302,397794,0,0,0,0,25083418,0,25083418,0,8186454,0,,0,0,0,0,24058,0,0,0,0,8210512,33293930,0,113278,113278,12859859,511413,631010,1539904,15655464,0,15655464,0,0,0,0,0,3764,7439479,0,7443243,23098707,2200000,0,0,0,0,0,1156936,6838287,10195223,0,10195223,33293930
149,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800002482,VARIADORES SA,2019-12-31,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 51  6 08,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,4772657,9684092,9481201,763505,0,0,0,0,24701455,0,24701455,0,7936968,0,0,52512,0,0,0,0,0,0,0,0,7989480,32690935,0,109092,109092,13597327,1177353,2509310,1002042,18395124,0,18395124,0,0,0,0,210804,0,8360010,0,8570814,26965938,2200000,0,0,0,0,0,1156936,2368061,5724997,0,5724997,32690935
150,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800012375,QBCO SAS,2019-12-31,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.1 CTR CENTRAL BUGA-TULUA,VALLE,BUGA-VALLE,Periodo Actual,2219800,36121280,59373441,9835593,,100187,387410,,108037711,7015535,115053246,,113713051,,1692205,49685418,,5294339,,,,,,,170385013,285438259,2539000,1651378,4190378,84528507,4731059,44935055,1613425,139998424,,139998424,616117,,616117,,2790276,,27879052,14908449,46193894,186192318,47358169,42672741,,,,33020673,691429,-33506587,90236425,9009516,99245941,285438259
151,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800012375,QBCO SAS,2019-12-31,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.1 CTR CENTRAL BUGA-TULUA,VALLE,BUGA-VALLE,Periodo Anterior,39048736,16031480,33019533,3116534,,3674246,123267,,95013796,13893444,108907240,,66429889,,2000756,,,5250089,,,,,,,73680734,182587974,1350455,,1350455,33015373,1192157,46093318,32241,81683544,410704,82094248,664437,,664437,,2570270,,13013110,,16247817,98342065,47358169,42672741,,,,31571496,331379,-38913649,83020136,1225773,84245909,182587974
152,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800013736,PALMERAS DE YARIMA S.A,2019-12-31,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. SOCIEDAD ANÓNIMA,CR 35 A 46 52,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,342040,3063736,1302586,472231,,2132,,,5182725,,5182725,5323834,107742193,,72408,809595,,,,319472,,,4474263,,118741765,123924490,241815,,241815,3798592,116911,2305941,35357,6498616,,6498616,,,,855830,7158603,,24984533,,32998966,39497582,5478896,3059000,,,,73571234,3857,2313921,84426908,,84426908,123924490
153,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800013736,PALMERAS DE YARIMA S.A,2019-12-31,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. SOCIEDAD ANÓNIMA,CR 35 A 46 52,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,285156,2498140,2124868,337201,,,,,5245365,,5245365,5323834,105934309,,81296,765526,,,,300777,,,4419383,,116825125,122070490,292353,,292353,6139750,111553,8464180,16272,15024108,,15024108,,,,,7039148,,17168175,,24207323,39231431,5478896,3059000,,,,73571234,-1708000,2437929,82839059,,82839059,122070490
154,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800019615,SYMRISE LTDA,2019-12-31,C2029 - Fabricación de otros productos químicos n.c.p.,03. SOCIEDAD LIMITADA,CR 58 9 54,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,15997542,48738086,29166184,2793086,,705618,,,97400516,,97400516,,73776785,,543541,,,,,,,,,,74320326,171720842,3138811,81000,3219811,31976514,5016382,3330,2356409,42572446,,42572446,,,,,5281433,,,,5281433,47853879,13102281,,,,,13101758,65276257,32386667,123866963,,123866963,171720842
155,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800019615,SYMRISE LTDA,2019-12-31,C2029 - Fabricación de otros productos químicos n.c.p.,03. SOCIEDAD LIMITADA,CR 58 9 54,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,22695389,36593836,23059668,35963,,,251467,,82636323,,82636323,,61530441,,967064,,,,,,,,,,62497505,145133828,2784191,138000,2922191,32938517,2736823,6547,535690,39139768,,39139768,,,,,5807916,,,,5807916,44947684,13102281,,,,,13327310,46396024,27360529,100186144,,100186144,145133828
156,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800020274,COMERCIALIZADORA  INTERNACIONAL CULTIVOS MIRAMONTE  S.A.S,2019-12-31,A0125 - Cultivo de flor de corte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 19 No. 5-30 OF 2201 EDIFICIO BD BACATA,ANTIOQUIA,MARINILLA-ANTIOQUIA,Periodo Actual,208105,522850,1257304,313001,2097958,2317,,,4401535,,4401535,,22977801,,,,,,,454857,,,,,23432658,27834193,746394,,746394,5758921,81368,,16498512,23085195,,23085195,,,,1644874,2361174,,,438908,4444956,27530151,288000,,,,,1763609,167287,-2037039,181857,122185,304042,27834193
157,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800020274,COMERCIALIZADORA  INTERNACIONAL CULTIVOS MIRAMONTE  S.A.S,2019-12-31,A0125 - Cultivo de flor de corte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 19 No. 5-30 OF 2201 EDIFICIO BD BACATA,ANTIOQUIA,MARINILLA-ANTIOQUIA,Periodo Anterior,226237,757578,1124219,1028780,1787150,621,,,4924585,,4924585,,19317031,,,,,,,720278,,,,,20037309,24961894,607554,,607554,3754907,85791,1022408,13364980,18835640,,18835640,,,,3339147,1403352,,340738,905344,5988581,24824221,288000,,,,,868675,167287,-1308474,15488,122185,137673,24961894
158,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800022127,ESTUDIOS PROYECTOS E INVERSIONES DE LOS ANDES SAS,2019-12-31,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 26 # 59 - 41 OFICINA 903,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,41959103,106629974,4914969,18562930,,70934596,24447204,,267448776,,267448776,16736742,28424931,,349523,,,194280482,,,,41000,715966,,240548644,507997420,4286412,,4286412,57933591,,,14516903,76736906,,76736906,3203783,2136547,5340330,10380697,14993114,,,19003422,49717563,126454469,211864510,145427759,,,,,93208155,-100890630,349609794,31933157,381542951,507997420
159,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800022127,ESTUDIOS PROYECTOS E INVERSIONES DE LOS ANDES SAS,2019-12-31,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 26 # 59 - 41 OFICINA 903,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,68128910,141381817,4508475,10601158,,51018260,12070233,,287708853,,287708853,21088651,43173866,,90568068,,,138003202,,,,41000,1040781,,293915568,581624421,3933554,9973252,13906806,136396219,,,18389350,168692375,,168692375,1203448,2222576,3426024,17829000,14896329,,,27441777,63593130,232285505,170262916,113935353,,,,,51641204,-36716879,299122594,50216322,349338916,581624421
160,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800027867,INDUSTRIAS BASICAS DE CALDAS S.A. I.B.C.,2019-12-31,C2011 - Fabricación de sustancias y productos químicos básicos,01. SOCIEDAD ANÓNIMA,CARRETERA PANAMERICANA KM 18 LA MANUELA VIA MEDELLIN,CALDAS,MANIZALES-CALDAS,Periodo Actual,7432014,41627631,18682715,6366431,,952394,427216,,75488401,,75488401,,35479586,,101510,4190831,,96636,,1355743,,,,,41224306,116712707,742540,,742540,22169801,9113960,27339767,,59366068,,59366068,127964,,127964,,6174278,2733209,,,9035451,68401519,1100000,,,,4066452,1316248,17533482,15782930,39799112,8512076,48311188,116712707
161,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800027867,INDUSTRIAS BASICAS DE CALDAS S.A. I.B.C.,2019-12-31,C2011 - Fabricación de sustancias y productos químicos básicos,01. SOCIEDAD ANÓNIMA,CARRETERA PANAMERICANA KM 18 LA MANUELA VIA MEDELLIN,CALDAS,MANIZALES-CALDAS,Periodo Anterior,4604965,42823616,20999211,4813122,,1911315,454382,,75606611,,75606611,,33337050,,123074,3868494,,96648,,759889,,,,,38185155,113791766,773749,,773749,31454497,7471498,22100031,212495,62012270,,62012270,99358,,99358,,5914919,9728191,,,15742468,77754738,1100000,,,,4016590,1338012,7441106,16072008,29967716,6069312,36037028,113791766
162,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800030932,PROCINAL BOGOTA LTDA EN REORGANIZACION,2019-12-31,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",03. SOCIEDAD LIMITADA,AV 15 119 43 OF 601,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,123303,10354157,,,,,,969689,11447149,,11447149,,112893954,,,,,,,968799,,492241,,,114354994,125802143,2545201,,2545201,9852047,37919777,13455374,1240,63773639,,63773639,,,,,23368760,,15529448,,38898208,102671847,9285003,,,,,91543171,506178,-78204056,23130296,,23130296,125802143
163,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800030932,PROCINAL BOGOTA LTDA EN REORGANIZACION,2019-12-31,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",03. SOCIEDAD LIMITADA,AV 15 119 43 OF 601,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,219280,11692268,508201,,,,,965777,13385526,,13385526,,114539291,,,,,,,779916,,335508,22079,,115676794,129062320,2308402,,2308402,14546134,19855120,11403291,583306,48696253,,48696253,,,,,25519472,,14604495,,40123967,88820220,9285003,,,,,88712571,506178,-58261652,40242100,,40242100,129062320
164,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800032970,LEMCO S.A.S.,2019-12-31,C2750 - Fabricación de aparatos de uso doméstico,01. SOCIEDAD ANÓNIMA,DG 25G 94 55,BOGOTA D.C.,FONTIBON-BOGOTA D.C.,Periodo Actual,5303113,151566118,113538656,,,,,,270407887,4112575,274520462,100007898,647745585,,1489290,6806380,,2959157,,10951273,,,2923642,,772883225,1047403687,3517819,,3517819,52804136,,91621474,28151572,176095001,,176095001,,,,696726,55823869,,66404589,,122925184,299020185,98739786,3124728,,,313537,580126472,34920749,31158230,748383502,,748383502,1047403687
165,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800032970,LEMCO S.A.S.,2019-12-31,C2750 - Fabricación de aparatos de uso doméstico,01. SOCIEDAD ANÓNIMA,DG 25G 94 55,BOGOTA D.C.,FONTIBON-BOGOTA D.C.,Periodo Anterior,6117781,114827212,90545780,,,,,,211490773,3419811,214910584,27470673,700923630,,640967,7302905,,3342555,,6869798,,,1351000,,747901528,962812112,5007877,,5007877,47570037,10812548,54236415,13352413,130979290,,130979290,9,,9,,,54932753,42603349,,97536111,228515401,98739786,3124728,,,2371803,577955913,31666543,20437938,734296711,,734296711,962812112
166,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800033159,DURMAN COLOMBIA SAS,2019-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.27 VIA FONTIBON FACATATIVA LOS ALPES + 400 MTS VIA BARLEY EL COLEGIO VEREDA EL CORZO LOTE 3.,CUNDINAMARCA,MADRID-CUNDINAMARCA,Periodo Actual,11585167,21757818,29573528,,,44636,,,62961149,,62961149,,46021815,,3755,,,,,7199811,,,,,53225381,116186530,1288149,4526288,5814437,39747313,,7125385,,52687135,,52687135,,,,48222477,7199341,,,,55421818,108108953,69279731,,,,35132296,,829156,-97163606,8077577,,8077577,116186530
167,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800033159,DURMAN COLOMBIA SAS,2019-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM.27 VIA FONTIBON FACATATIVA LOS ALPES + 400 MTS VIA BARLEY EL COLEGIO VEREDA EL CORZO LOTE 3.,CUNDINAMARCA,MADRID-CUNDINAMARCA,Periodo Anterior,6097935,24403309,25726488,,,333310,,,56561042,,56561042,,47870593,,2988,,,344986,,14475370,,,,,62693937,119254979,1221873,1586687,2808560,10430100,,12540850,,25779510,,25779510,,,,60410593,112570,,,,60523163,86302673,69281361,,,,35132296,,827526,-72288877,32952306,,32952306,119254979
168,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800035776,NEXSYS DE COLOMBIA S.A,2019-12-31,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Aut medellin cl8o Km 2 Parque empresarial tecnologico,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Actual,31492050,289568319,146539595,27860496,,942279,4070551,,500473290,,500473290,1102649,7295356,,,,,,,941667,,,,,9339672,509812962,,1590736,1590736,263891292,32974827,94591007,2920917,395968779,,395968779,,,,,2133294,,,378562,2511856,398480635,13140000,,,,,,6766615,88040551,107947166,3385161,111332327,509812962
169,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800035776,NEXSYS DE COLOMBIA S.A,2019-12-31,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Aut medellin cl8o Km 2 Parque empresarial tecnologico,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Anterior,58832600,238684856,101910125,13079815,,31101,2446112,,414984609,,414984609,902649,2908957,,,,,,,5263640,,,,,9075246,424059855,,1656797,1656797,212849050,24868136,88165862,4145801,331685646,,331685646,,,,,1106254,,,567836,1674090,333359736,13140000,,,,,,6766615,68037861,87944476,2755643,90700119,424059855
170,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800039996,KUEHNE + NAGEL S.A.S,2019-12-31,H5229 - Otras actividades complementarias al transporte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 113 No. 7-80 PISO5 TORRE AR,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,3053706,121781433,,12709627,,,340788,,137885554,,137885554,,10953245,6818400,,,,,,4679166,,40036874,29912,,62517597,200403151,,2538295,2538295,102376352,819944,14747130,1380132,121861853,,121861853,,,,,0,,,28907969,28907969,150769822,3428204,26314528,,,,,1010903,18879694,49633329,,49633329,200403151
171,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800039996,KUEHNE + NAGEL S.A.S,2019-12-31,H5229 - Otras actividades complementarias al transporte,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 113 No. 7-80 PISO5 TORRE AR,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,10273904,121166280,,6268186,,,83003,,137791373,,137791373,,8081930,6818400,,,,,,1746646,,200,29912,,16677088,154468461,,2796040,2796040,81475617,718171,21123375,1420896,107534099,,107534099,,,,,3778998,,,,3778998,111313097,3428204,26314528,,,,,1010903,12401729,43155364,,43155364,154468461
172,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800042175,PRODUCTOS QUIMICOS ANDINOS S.A.S,2019-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AUT MEDELLIN KM 1.5  COSTADO SUR BG 20  PARQUE INDUSTRIAL LA FLORIDA,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Actual,1294592,31666127,29242650,1892227,0,0,0,0,64095596,1985,64097581,0,31491013,0,0,928645,0,292371,0,98461,0,0,179881,0,32990371,97087952,364143,0,364143,24471171,2528393,25209359,0,52573066,0,52573066,0,0,0,0,2946452,0,662181,,3608633,56181699,7335087,0,0,0,4903481,2277236,6452772,19679315,40647891,258362,40906253,97087952
173,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800042175,PRODUCTOS QUIMICOS ANDINOS S.A.S,2019-12-31,C2229 - Fabricación de artículos de plástico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AUT MEDELLIN KM 1.5  COSTADO SUR BG 20  PARQUE INDUSTRIAL LA FLORIDA,CUNDINAMARCA,COTA-CUNDINAMARCA,Periodo Anterior,1061347,31065267,33916206,1243439,0,0,0,0,67286259,1985,67288244,10000,33140233,0,0,928645,0,543769,0,779148,0,0,458454,0,35860249,103148493,277967,0,277967,26598230,2332582,35583183,0,64791962,0,64791962,0,0,0,0,2287563,0,1739314,,4026877,68818839,7335087,0,0,0,4903481,2432980,8302265,11175918,34149731,179923,34329654,103148493
